LabVIEW Measurement,
Writer_Version,2
Reader_Version,2
Separator,Comma
Decimal_Separator,.
Multi_Headings,No
X_Columns,Multi
Time_Pref,Absolute
Operator,gaudettelab
Date,6/17/2014
Time,17:49.6
***End_of_Header***,
,
Channels,1
Samples,1478
Date,6/17/2014
Time,47:36.7
Y_Unit_Label,Volts
X_Dimension,Time
X0,0.00E+00
Delta_X,0.004
***End_of_Header***,
X_Value,Dev1/ai0
3.856,7.77E+01
3.86,7.73E+01
3.864,7.58E+01
3.868,7.38E+01
3.872,7.21E+01
3.876,7.09E+01
3.88,6.90E+01
3.884,6.60E+01
3.888,6.21E+01
3.892,5.67E+01
3.896,4.65E+01
3.9,3.67E+01
3.904,2.87E+01
3.908,2.18E+01
3.912,1.65E+01
3.916,1.13E+01
3.92,7.19E+00
3.924,4.75E+00
3.928,3.77E+00
3.932,3.28E+00
3.936,2.79E+00
3.94,3.28E+00
3.944,4.01E+00
3.948,4.26E+00
3.952,3.53E+00
3.956,3.77E+00
3.96,4.26E+00
3.964,4.26E+00
3.968,3.77E+00
3.972,3.77E+00
3.976,4.01E+00
3.98,4.26E+00
3.984,4.26E+00
3.988,4.01E+00
3.992,4.26E+00
3.996,4.50E+00
4,4.50E+00
4.004,4.01E+00
4.008,4.26E+00
4.012,4.75E+00
4.016,4.75E+00
4.02,4.26E+00
4.024,4.50E+00
4.028,5.24E+00
4.032,4.99E+00
4.036,4.50E+00
4.04,4.75E+00
4.044,5.48E+00
4.048,5.24E+00
4.052,4.75E+00
4.056,4.75E+00
4.06,5.48E+00
4.064,5.48E+00
4.068,4.99E+00
4.072,4.99E+00
4.076,5.24E+00
4.08,5.48E+00
4.084,5.24E+00
4.088,4.99E+00
